name, status, id, URL
Alvin C. Warren,no,10934,http://hls.harvard.edu/faculty/directory/10934/Warren
Paul C. Weiler,no,10940,http://hls.harvard.edu/faculty/directory/10940/Weiler
Lloyd L. Weinreb,no,10941,http://hls.harvard.edu/faculty/directory/10941/Weinreb
Lucie E. White,yes,10952,http://hls.harvard.edu/faculty/directory/10952/White
Alex Whiting,yes,10953,http://hls.harvard.edu/faculty/directory/10953/Whiting
David B. Wilkins,yes,10957,http://hls.harvard.edu/faculty/directory/10957/Wilkins
Mark Wu,no,10976,http://hls.harvard.edu/faculty/directory/10976/Wu
Jonathan Zittrain,yes,10992,http://hls.harvard.edu/faculty/directory/10992/Zittrain
Samuel Moyn,no,11175,http://hls.harvard.edu/faculty/directory/11175/Moyn
Daniel Nagin,no,11189,http://hls.harvard.edu/faculty/directory/11189/Nagin
Intisar A. Rabb,no,11205,http://hls.harvard.edu/faculty/directory/11205/Rabb
Scott Westfahl,no,11254,http://hls.harvard.edu/faculty/directory/11254/Westfahl
Crystal S. Yang,no,11405,http://hls.harvard.edu/faculty/directory/11405/Yang
